Mn2NiSb,29,Mn,Ni,Sb,A1Mom,-0.7074,6.126,0.044758,-0.58379,none,none,none,none,None,-0.506387
Fe2CoP,30,Fe,Co,P,NormMom,5.6623,5.579,-1.086006,-0.0897,-0.3126,-0.3026,0.3026,0.01,None,-0.281309
Fe2CoSb,30,Fe,Co,Sb,BigMom,5.9184,5.988,0.104033,0.3899,-1.4815,-1.2315,1.2315,0.25,None,-0.530846
Fe2CuAl,30,Fe,Cu,Al,BigMom,4.084,5.8,-0.478988,-0.28077,-1.5411,-1.2211,1.2211,0.32,None,-0.446816
Fe2CuGa,30,Fe,Cu,Ga,NormMom,4.3362,5.819,-0.096736,-0.33323,-1.5548,-1.1948,1.1948,0.36,None,-0.271789
Fe2CuIn,30,Fe,Cu,In,NormMom,4.7677,6.09,0.74866,-0.38734,-1.2921,-1.1121,1.1121,0.18,None,-0.417332
Fe2NiGe,30,Fe,Ni,Ge,BigMom,5.0284,5.767,-0.557946,-0.59038,-1.8011,-1.4011,1.4011,0.4,None,-0.369694
Fe2NiSi,30,Fe,Ni,Si,BigMom,4.6339,5.645,-1.211802,-0.66975,-0.518,-0.408,0.408,0.11,None,-0.304484
Fe2NiSn,30,Fe,Ni,Sn,BigMom,5.2016,6.034,-0.153354,-0.27798,-1.5075,-1.1475,1.1475,0.36,None,-0.577087
Mn2CuSb,30,Mn,Cu,Sb,A1Mom,-1.0247,6.218,0.733912,-0.31412,-2.6103,-2.5503,2.5503,0.06,None,-0.05545
Co2NiAl,31,Co,Ni,Al,NormMom,2.7682,5.688,-0.945036,-0.83186,-1.2502,-1.1602,1.1602,0.09,None,-0.066646
Co2NiGa,31,Co,Ni,Ga,BigMom,2.9054,5.708,-0.449595,-0.6213,-1.6366,-1.5666,1.5666,0.07,None,-0.019951
Co2NiIn,31,Co,Ni,In,BigMom,2.9911,5.957,0.604324,0.58967,-0.8649,-0.8549,0.8549,0.01,None,-0.125104
Fe2CuGe,31,Fe,Cu,Ge,BigMom,4.2706,5.812,0.183558,-0.44188,-1.8664,-1.5364,1.5364,0.33,None,-0.077797
Fe2CuSn,31,Fe,Cu,Sn,NormMom,4.6082,6.077,0.46301,-0.31792,-1.5979,-1.4679,1.4679,0.13,None,-0.298254
Fe2NiSb,31,Fe,Ni,Sb,BigMom,5.1337,6.037,0.15798,-0.58254,-1.6503,-1.3403,1.3403,0.31,None,-0.271545
Fe2ZnAl,31,Fe,Zn,Al,NormMom,3.7678,5.856,-0.375633,-0.51136,none,none,none,none,None,-0.175549
Fe2ZnGa,31,Fe,Zn,Ga,NormMom,4.1717,5.892,0.033058,-0.38331,none,none,none,none,None,-0.071255
Fe2ZnIn,31,Fe,Zn,In,BigMom,4.6069,6.164,0.838375,-0.26329,none,none,none,none,None,-0.139311
Co2CuIn,32,Co,Cu,In,BigMom,2.6978,6.012,0.823148,-0.61384,-1.6786,-1.4186,1.4186,0.26,None,-0.135222
Fe2CuSb,32,Fe,Cu,Sb,NormMom,4.359,6.083,0.801686,-0.5188,0.2236,0.2336,0.2236,0.01,None,-0.075145
V2CrAs,21,V,Cr,As,A1Mom,1.9587,5.912,-0.413854,-0.14293,-0.3874,-0.3174,0.3174,0.07,None,-0.195007
V2MnAs,22,V,Mn,As,BigMom,1.9918,5.896,-0.593346,-0.95736,-0.7252,-0.5252,0.5252,0.2,None,-0.045047
Cr2FeAs,25,Cr,Fe,As,A1Mom,-1.003,5.755,0.239153,-0.98801,0.1483,0.4783,0.1483,0.33,None,-0.06999
Cr2CoAs,26,Cr,Co,As,A1Mom,-2.0017,5.799,0.127476,-0.97876,0.124,0.314,0.124,0.19,None,-0.401552
Mn2FeAs,27,Mn,Fe,As,NormMom,3,5.719,-0.285039,1,-0.0325,0.2275,0.0325,0.26,Half-Metal,-0.340992
Mn2CoAs,28,Mn,Co,As,NormMom,4,5.738,-0.318139,1,-0.0987,0.1513,0.0987,0.25,Half-Metal,-0.596813
Mn2NiAs,29,Mn,Ni,As,A1Mom,-0.8114,5.888,-0.237155,-0.28364,none,none,none,none,None,-0.370451
Fe2CoAs,30,Fe,Co,As,NormMom,5.9789,5.758,-0.216973,0.6263,-1.5609,-1.2609,1.2609,0.3,None,-0.391448
Fe2NiAs,31,Fe,Ni,As,BigMom,5.4178,5.812,-0.042598,-0.71635,-1.8297,-1.4697,1.4697,0.36,None,-0.033336
